cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
588,335,6,758,2,416
589,334,6,758,2,416
590,334,6,758,2,418
591,332,6,758,2,418
592,334,6,760,2,418
593,335,6,761,2,418
594,336,6,762,2,419
595,335,6,762,2,421
596,333,6,762,2,422
597,332,6,762,2,422
598,333,6,763,2,422
599,333,6,763,2,422
600,333,6,763,2,422
601,333,6,763,2,424
602,331,6,763,2,424
603,331,6,763,2,425
604,331,6,764,2,427
605,329,6,764,2,428
606,328,6,764,2,428
607,328,6,764,2,428
608,328,6,764,2,428
609,328,6,764,2,429
610,327,6,764,2,429
611,328,6,765,2,429
612,331,6,768,2,429
613,331,6,768,2,429
614,331,6,768,2,431
615,330,6,769,2,431
616,330,6,769,2,431
617,330,6,769,2,432
618,330,6,770,2,432
619,330,6,770,2,434
620,328,6,770,2,434
621,328,6,770,2,434
622,328,6,770,2,434
623,328,6,770,2,434
624,328,6,770,2,434
625,328,6,770,2,434
626,328,6,770,2,435
627,327,6,770,2,435
628,327,6,770,2,436
629,326,6,770,2,436
630,326,6,770,2,437
631,326,6,771,2,437
632,329,6,774,2,437
633,330,6,775,2,437
634,330,6,775,2,439
635,329,6,776,2,440
636,328,6,776,2,442
637,327,6,777,2,442
638,327,6,777,2,442
639,327,6,777,2,442
640,327,6,777,2,444
641,326,6,778,2,444
642,326,6,778,2,444
643,326,6,778,2,444
644,326,6,778,2,444
645,326,6,778,2,444
646,328,6,780,2,448
647,324,6,780,2,448
648,325,6,781,2,449
649,324,6,781,2,450
650,324,6,782,2,451
651,323,6,782,2,451
652,323,6,782,2,451
653,325,6,784,2,451
654,325,6,784,2,451
655,325,6,784,2,452
656,324,6,784,2,452
657,325,6,785,2,452
658,326,6,786,2,452
659,326,6,786,2,452
660,326,6,786,2,454
661,325,6,787,2,456
662,323,6,787,2,456
663,323,6,787,2,457
664,324,6,789,2,457
665,324,6,789,2,458
666,324,6,790,2,458
667,325,6,791,2,458
668,326,6,792,2,458
669,326,6,792,2,459
670,325,6,792,2,459
671,325,6,792,2,460
672,324,6,792,2,461
673,324,6,793,2,461
674,324,6,793,2,461
675,324,6,793,2,462
676,323,6,793,2,463
677,322,6,793,2,464
678,321,6,793,2,464
679,321,6,793,2,464
680,322,6,794,2,465
681,322,6,795,2,466
682,323,6,797,2,466
683,325,6,799,2,466
684,325,6,799,2,466
685,325,6,799,2,466
686,325,6,799,2,466
687,327,6,801,2,468
688,325,6,801,2,470
689,324,6,802,2,470
690,324,6,802,2,470
691,326,6,804,2,472
692,324,6,804,2,472
693,324,6,804,2,472
694,326,6,806,2,473
695,325,6,806,2,473
696,325,6,806,2,474
697,324,6,806,2,474
698,324,6,806,2,474
699,324,6,806,2,475
700,323,6,806,2,476
701,323,6,807,2,476
702,323,6,807,2,477
703,323,6,808,2,478
704,322,6,808,2,479
705,321,6,808,2,479
706,321,6,808,2,479
707,322,6,809,2,479
708,322,6,809,2,480
709,322,6,810,2,480
710,322,6,810,2,481
711,321,6,810,2,481
712,321,6,810,2,481
713,322,6,811,2,481
714,322,6,811,2,482
715,321,6,811,2,483
716,320,6,811,2,483
717,320,6,811,2,483
718,320,6,811,2,484
